Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR20079516_1	SRR20079516_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30243197.0	0.0	35-101	49.0	40.91417959301864	92.07586435058437	100	pass	pass	pass	fail	fail	warn	warn	fail	fail	pass
SRR20079516_2	SRR20079516_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30243197.0	0.0	35-101	54.0	47.47675413592926	98.36323820196654	100	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
SRR20079517_1	SRR20079517_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4036200.0	0.0	35-101	49.0	64.71704474181347	91.33873098458946	100	pass	pass	pass	fail	fail	warn	warn	warn	fail	pass
SRR20079517_2	SRR20079517_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4036200.0	0.0	35-101	54.0	68.84538456852762	98.3533159902879	100	pass	pass	pass	warn	fail	pass	warn	warn	fail	pass
SRR20079518_1	SRR20079518_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4436853.0	0.0	35-101	49.0	58.0566520968232	86.13790281084363	100	pass	pass	pass	fail	fail	warn	warn	warn	fail	pass
SRR20079518_2	SRR20079518_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4436853.0	0.0	35-101	59.0	63.18222721072604	97.63868726324718	100	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR20079519_1	SRR20079519_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30133222.0	0.0	35-101	49.0	38.81718563988346	87.2842315036872	100	pass	pass	pass	fail	fail	warn	warn	fail	fail	pass
SRR20079519_2	SRR20079519_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30133222.0	0.0	35-101	57.0	46.281260168119516	98.28722414748745	100	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR20079520_1	SRR20079520_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52128161.0	0.0	35-101	49.0	39.70994985396942	97.52470605091939	100	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR20079520_2	SRR20079520_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52128161.0	0.0	35-101	49.0	44.92171651666721	98.49128095080891	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
